Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019,SD,NL,36,0,0,5.19,8,0,0,8.2,7,5,5,3,3,6,1.15
2020,SD,NL,67,1,0,10.13,14,0,0,13.1,25,16,15,1,5,12,2.25
2021,SD,NL,18,0,0,4.91,4,0,0,3.2,4,2,2,0,2,3,1.64
2022,SD,NL,12,0,0,18.00,1,0,0,2.0,3,4,4,1,3,1,3.00
2022,TB,AL,70,2,1,3.38,17,0,0,16.0,13,7,6,2,8,9,1.31
2022,2 Teams,,82,2,1,5.00,18,0,0,18.0,16,11,10,3,11,10,1.50
