Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1988,ATL,NL,297,2,7,5.48,12,12,0,64.0,74,40,39,10,33,37,1.67
1989,ATL,NL,847,12,11,2.94,29,29,0,208.0,160,79,68,15,72,168,1.12
1990,ATL,NL,966,14,11,3.85,34,34,0,231.1,206,109,99,20,90,170,1.28
1991,ATL,NL,947,14,13,3.80,36,36,0,229.2,206,101,97,16,77,148,1.23
1992,ATL,NL,1021,15,12,2.85,35,35,0,246.2,206,90,78,17,80,215,1.16
1993,ATL,NL,1028,15,11,3.62,35,35,0,243.2,208,104,98,23,100,208,1.26
1994,ATL,NL,568,6,10,4.14,21,21,0,134.2,120,69,62,15,48,113,1.25
1995,ATL,NL,808,12,7,3.18,29,29,0,192.2,166,76,68,15,72,193,1.24
1996,ATL,NL,995,24,8,2.94,35,35,0,253.2,199,93,83,19,55,276,1.00
1997,ATL,NL,1043,15,12,3.02,35,35,0,256.0,234,97,86,21,63,241,1.16
1998,ATL,NL,681,17,3,2.90,26,26,0,167.2,145,58,54,10,44,173,1.13
1999,ATL,NL,746,11,8,3.19,29,29,0,186.1,168,70,66,14,40,156,1.12
2001,ATL,NL,238,3,3,3.36,36,5,10,59.0,53,24,22,7,10,57,1.07
2002,ATL,NL,314,3,2,3.25,75,0,55,80.1,59,30,29,4,24,85,1.03
2003,ATL,NL,244,0,2,1.12,62,0,45,64.1,48,9,8,2,8,73,0.87
2004,ATL,NL,323,0,1,2.76,73,0,44,81.2,75,25,25,8,13,85,1.08
2005,ATL,NL,931,14,7,3.06,33,33,0,229.2,210,83,78,18,53,169,1.15
2006,ATL,NL,960,16,9,3.49,35,35,0,232.0,221,93,90,23,55,211,1.19
2007,ATL,NL,853,14,8,3.11,32,32,0,205.2,196,78,71,18,47,197,1.18
2008,ATL,NL,117,3,2,2.57,6,5,0,28.0,25,8,8,2,8,36,1.18
2009,BOS,AL,186,2,5,8.33,8,8,0,40.0,59,37,37,8,9,33,1.70
2009,STL,NL,158,1,3,4.26,7,7,0,38.0,36,18,18,3,9,40,1.18
