Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1993,TEX,AL,14,0,0,2.70,2,0,0,3.1,2,1,1,1,1,4,0.90
1994,TEX,AL,226,4,0,3.42,43,0,2,50.0,40,24,19,4,35,50,1.50
1995,TEX,AL,222,4,2,4.22,17,7,0,49.0,47,25,23,3,32,39,1.61
1996,TEX,AL,777,14,6,4.66,30,30,0,173.2,190,97,90,20,76,112,1.53
1997,TEX,AL,887,13,12,4.20,32,32,0,201.1,213,111,94,29,82,104,1.47
1998,TEX,AL,493,6,7,6.53,19,19,0,103.1,140,84,75,11,43,58,1.77
1998,STL,NL,256,4,4,4.26,10,10,0,57.0,64,31,27,7,23,29,1.53
1998,2 Teams,,749,10,11,5.73,29,29,0,160.1,204,115,102,18,66,87,1.68
1999,STL,NL,842,9,9,4.26,30,30,0,196.1,197,96,93,16,74,119,1.38
2000,TEX,AL,501,2,9,7.42,21,21,0,108.0,151,95,89,16,42,49,1.79
2001,TEX,AL,696,11,11,6.02,28,28,0,154.0,189,109,103,23,65,104,1.65
2002,BOS,AL,258,4,5,4.66,14,9,0,58.0,70,30,30,7,27,32,1.67
2003,COL,NL,786,13,11,5.04,33,32,0,180.1,201,108,101,21,61,88,1.45
2004,FLA,NL,260,2,3,6.44,18,8,0,58.2,75,44,42,13,17,33,1.57
2004,HOU,NL,54,1,0,3.86,9,2,0,14.0,12,6,6,1,4,13,1.14
2004,2 Teams,,314,3,3,5.94,27,10,0,72.2,87,50,48,14,21,46,1.49
2006,NYM,NL,333,4,1,3.44,45,0,0,81.0,70,33,31,13,21,60,1.12
2007,LAA,AL,273,3,1,3.78,61,0,0,64.1,58,31,27,5,23,51,1.26
2008,LAA,AL,291,7,1,2.88,54,0,0,72.0,67,24,23,5,16,48,1.15
2009,LAA,AL,293,5,1,2.71,63,1,0,73.0,61,22,22,5,22,65,1.14
2010,TEX,AL,244,1,2,2.48,64,0,1,61.2,53,20,17,4,15,65,1.10
2011,TEX,AL,215,5,5,2.29,61,0,2,51.0,47,17,13,3,11,44,1.14
2012,TOR,AL,221,3,4,2.06,62,0,2,56.2,43,13,13,3,15,52,1.02
