Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,FLA,NL,325,5,5,4.03,17,13,0,73.2,71,34,33,4,31,59,1.38
2006,FLA,NL,213,1,2,7.33,12,5,0,43.0,50,39,35,9,30,25,1.86
2007,NYM,NL,51,0,1,12.19,2,2,0,10.1,17,14,14,4,2,4,1.84
2009,SEA,AL,385,3,6,4.91,23,14,0,91.2,98,53,50,16,24,54,1.33
2010,SEA,AL,811,9,12,3.78,31,31,0,192.2,187,86,81,18,54,116,1.25
2011,SEA,AL,857,10,13,4.25,32,32,0,201.0,205,105,95,22,59,131,1.31
2012,SEA,AL,887,14,11,3.85,33,33,0,217.1,201,94,93,35,55,141,1.18
2013,LAA,AL,644,9,8,4.02,24,24,0,150.0,162,68,67,17,46,109,1.39
2014,KC,AL,790,11,10,3.71,30,30,0,187.0,197,82,77,19,41,128,1.27
2015,KC,AL,183,5,2,3.98,9,9,0,43.0,46,20,19,5,12,27,1.35
2016,KC,AL,47,0,0,2.25,3,3,0,12.0,8,3,3,1,3,11,0.92
2017,KC,AL,756,18,11,4.16,32,32,0,179.2,181,84,83,27,58,134,1.33
2018,NYM,NL,404,7,9,5.77,20,20,0,92.0,100,60,59,18,30,84,1.41
2019,NYM,NL,400,6,5,4.01,19,18,0,94.1,81,45,42,14,39,81,1.27
2019,PHI,NL,249,1,4,5.37,11,11,0,55.1,60,39,33,7,24,43,1.52
