Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2004,OAK,AL,30,0,0,5.63,3,0,0,8.0,6,5,5,1,2,6,1.00
2005,OAK,AL,835,12,12,3.53,33,33,0,201.1,178,86,79,23,67,116,1.22
2006,OAK,AL,856,16,12,4.82,32,31,0,194.1,241,111,104,17,58,107,1.54
2007,OAK,AL,950,14,10,3.95,34,34,0,230.0,240,106,101,16,40,140,1.22
2008,OAK,AL,550,5,12,4.96,20,20,0,127.0,145,74,70,12,35,62,1.42
2008,PHI,NL,305,4,0,4.20,13,13,0,70.2,66,36,33,10,31,49,1.37
2008,2 Teams,,855,9,12,4.69,33,33,0,197.2,211,110,103,22,66,111,1.40
2009,PHI,NL,837,12,8,4.05,31,31,0,195.1,198,89,88,30,59,163,1.32
2010,PHI,NL,765,9,6,4.82,29,28,0,175.2,206,104,94,27,43,134,1.42
2011,PHI,NL,180,1,2,5.01,11,8,0,41.1,52,23,23,5,9,35,1.48
2012,PHI,NL,560,8,9,4.59,21,20,0,133.1,141,74,68,22,18,115,1.19
2012,LAD,NL,246,2,4,4.99,10,10,0,57.2,66,32,32,7,16,51,1.42
2012,2 Teams,,806,10,13,4.71,31,30,0,191.0,207,106,100,29,34,166,1.26
2013,LAA,AL,611,2,14,6.04,28,20,0,132.2,180,96,89,29,34,108,1.61
2015,KC,AL,172,2,2,3.89,15,4,2,41.2,43,19,18,6,7,40,1.20
2015,PIT,NL,137,5,0,1.57,21,0,0,34.1,26,7,6,1,9,39,1.02
2015,2 Teams,,309,7,2,2.84,36,4,2,76.0,69,26,24,7,16,79,1.12
2016,LAD,NL,315,7,2,2.48,75,0,0,80.0,55,23,22,7,26,80,1.01
