Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,MIL,NL,466,9,5,3.67,20,17,0,110.1,103,48,45,8,37,101,1.27
2008,MIL,NL,97,0,0,1.88,4,4,0,24.0,22,5,5,3,8,20,1.25
2009,MIL,NL,793,13,12,3.73,30,30,0,185.2,150,78,77,21,94,204,1.31
2010,MIL,NL,803,14,7,3.84,31,31,0,185.0,178,89,79,12,75,200,1.37
2011,MIL,NL,865,17,10,3.52,33,33,0,207.1,193,92,81,27,59,207,1.22
2012,MIL,NL,860,16,9,3.66,33,33,0,204.0,185,86,83,26,81,204,1.30
2013,MIL,NL,773,12,10,4.18,31,31,0,180.2,180,92,84,18,66,144,1.36
2014,MIL,NL,817,8,11,3.51,32,32,0,192.1,195,86,75,21,54,146,1.29
2015,TEX,AL,793,13,11,3.42,33,33,0,184.1,193,76,70,15,68,121,1.42
2016,BAL,AL,526,6,8,5.42,23,23,0,118.0,126,74,71,16,61,85,1.58
2017,SEA,AL,578,5,10,5.72,28,22,1,130.2,138,84,83,24,60,94,1.52
2018,CIN,NL,19,0,0,30.86,3,0,0,2.1,8,8,8,1,4,2,5.14
2018,TEX,AL,403,8,8,5.77,18,18,0,92.0,99,60,59,13,43,56,1.54
