Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1995,NYY,AL,745,12,9,4.17,31,26,0,175.0,183,86,81,15,63,114,1.41
1996,NYY,AL,929,21,8,3.87,35,34,0,221.0,229,105,95,23,72,162,1.36
1997,NYY,AL,986,18,7,2.88,35,35,0,240.1,233,86,77,7,65,166,1.24
1998,NYY,AL,932,16,11,4.24,33,32,0,216.1,226,110,102,20,87,146,1.45
1999,NYY,AL,851,14,11,4.70,31,31,0,191.2,216,105,100,20,89,121,1.59
2000,NYY,AL,903,19,9,4.35,32,32,0,204.2,219,111,99,17,80,125,1.46
2001,NYY,AL,858,15,10,3.99,31,31,0,200.2,224,103,89,14,41,164,1.32
2002,NYY,AL,570,13,5,3.27,22,22,0,134.2,144,58,49,6,32,97,1.31
2003,NYY,AL,896,21,8,4.02,33,33,0,208.1,227,109,93,21,50,180,1.33
2004,HOU,NL,346,6,4,3.90,15,15,0,83.0,71,37,36,8,31,79,1.23
2005,HOU,NL,875,17,9,2.39,33,33,0,222.1,188,66,59,17,41,171,1.03
2006,HOU,NL,929,14,13,4.20,36,35,0,214.1,238,114,100,27,70,178,1.44
2007,NYY,AL,916,15,9,4.05,36,34,0,215.1,238,106,97,16,69,141,1.43
2008,NYY,AL,881,14,14,4.54,33,33,0,204.0,233,112,103,19,55,158,1.41
2009,NYY,AL,834,14,8,4.16,32,32,0,194.2,193,101,90,20,76,148,1.38
2010,NYY,AL,536,11,3,3.28,21,21,0,129.0,123,52,47,13,41,101,1.27
2012,NYY,AL,303,5,4,2.87,12,12,0,75.1,65,26,24,8,21,69,1.14
