Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,NYY,AL,77,1,0,1.89,3,3,0,19.0,13,6,4,1,9,15,1.16
2008,NYY,AL,194,0,4,8.17,10,9,0,39.2,50,37,36,5,26,27,1.92
2009,NYY,AL,6,0,0,0.00,1,0,0,1.0,0,0,0,0,2,1,2.00
2010,AZ,NL,810,9,10,3.80,32,32,0,194.0,163,87,82,26,70,168,1.20
2011,AZ,NL,900,21,4,2.88,33,33,0,222.0,186,73,71,19,55,198,1.09
2012,AZ,NL,899,15,12,4.02,33,33,0,208.1,216,101,93,28,55,187,1.30
2013,AZ,NL,549,3,8,5.23,21,21,0,124.0,128,79,72,18,48,108,1.42
2013,SD,NL,245,4,2,4.24,10,10,0,57.1,52,29,27,9,25,55,1.34
2013,2 Teams,,794,7,10,4.91,31,31,0,181.1,180,108,99,27,73,163,1.40
2014,SD,NL,846,13,13,3.63,33,33,0,201.0,189,85,81,16,70,207,1.29
2015,SD,NL,713,9,15,4.28,30,30,0,168.1,166,95,80,31,52,174,1.30
2016,KC,AL,818,11,11,3.68,33,33,0,195.2,173,81,80,33,66,184,1.22
2017,KC,AL,655,5,13,5.38,30,30,0,154.0,143,99,92,34,61,131,1.32
2018,KC,AL,518,3,9,4.66,22,22,0,119.2,125,66,62,20,40,105,1.38
2019,KC,AL,266,3,2,3.41,63,0,30,63.1,64,24,24,6,17,73,1.28
2020,KC,AL,69,0,2,9.00,15,1,0,14.0,20,17,14,7,5,15,1.79
2021,TEX,AL,126,0,0,2.51,32,0,16,32.1,27,9,9,5,7,35,1.05
2021,PHI,NL,102,3,1,4.13,23,0,10,24.0,18,12,11,7,10,27,1.17
2021,2 Teams,,228,3,1,3.20,55,0,26,56.1,45,21,20,12,17,62,1.10
2022,AZ,NL,232,4,7,5.36,57,0,10,50.1,57,33,30,11,22,44,1.57
