Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2018,PIT,NL,56,1,0,6.35,6,0,0,11.1,15,10,8,1,8,6,2.03
2019,OAK,AL,105,0,3,6.04,5,5,0,22.1,30,16,15,4,7,18,1.66
