Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,TOR,AL,128,0,2,3.27,32,0,1,33.0,23,14,12,8,6,22,0.88
2016,TOR,AL,85,0,1,2.95,20,0,0,18.1,17,8,6,1,8,18,1.36
2017,TOR,AL,319,7,1,3.59,73,0,2,77.2,57,35,31,7,31,81,1.13
2018,TOR,AL,263,5,5,3.62,68,0,7,64.2,55,27,26,9,24,68,1.22
2019,TOR,AL,91,0,2,4.98,23,1,0,21.2,20,12,12,5,8,14,1.29
2020,CHC,NL,89,0,1,3.92,21,0,0,20.2,17,9,9,2,12,31,1.40
2021,CHC,NL,165,0,2,2.91,43,0,1,43.1,22,14,14,3,12,50,0.78
2021,CWS,AL,75,0,0,2.50,22,0,1,18.0,13,5,5,1,7,24,1.11
2021,2 Teams,,240,0,2,2.79,65,0,2,61.1,35,19,19,4,19,74,0.88
2022,LAA,AL,232,5,4,3.61,59,0,6,57.1,42,27,23,7,20,47,1.08
