Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1993,HOU,NL,150,1,2,3.13,27,0,2,37.1,28,14,13,4,15,25,1.15
1994,HOU,NL,288,5,2,2.72,48,0,5,72.2,52,23,22,3,26,63,1.07
1995,HOU,NL,442,6,5,3.07,68,0,15,99.2,89,38,34,8,52,96,1.41
1996,HOU,NL,263,6,3,4.40,51,0,17,57.1,61,30,28,5,32,44,1.62
1997,DET,AL,301,5,4,3.09,68,0,31,70.0,60,29,24,3,35,70,1.36
1998,DET,AL,279,1,4,4.97,65,0,28,63.1,58,38,35,7,36,57,1.48
1999,DET,AL,287,4,4,3.80,65,0,30,66.1,64,30,28,7,35,64,1.49
2000,DET,AL,271,2,4,3.52,67,0,42,64.0,67,28,25,6,25,67,1.44
2001,DET,AL,225,4,5,4.62,45,0,11,48.2,60,31,25,6,22,39,1.68
2001,MIN,AL,89,1,0,3.26,24,0,2,19.1,27,8,7,3,7,15,1.76
2001,2 Teams,,314,5,5,4.24,69,0,13,68.0,87,39,32,9,29,54,1.71
2002,COL,NL,352,1,4,4.70,79,0,1,82.1,84,43,43,10,28,73,1.36
2003,COL,NL,193,1,4,8.24,33,1,0,39.1,61,39,36,8,18,28,2.01
2003,BOS,AL,133,2,1,5.52,26,0,0,29.1,32,19,18,2,13,31,1.53
2003,2 Teams,,326,3,5,7.08,59,1,0,68.2,93,58,54,10,31,59,1.81
2004,CIN,NL,235,8,2,3.79,51,0,1,57.0,49,25,24,4,25,37,1.30
2004,PHI,NL,123,3,3,4.97,27,0,1,25.1,35,14,14,3,8,22,1.70
2004,2 Teams,,358,11,5,4.15,78,0,2,82.1,84,39,38,7,33,59,1.42
2005,FLA,NL,289,1,5,2.10,68,0,40,73.0,61,19,17,2,14,62,1.03
2006,DET,AL,272,2,6,3.94,62,0,37,64.0,70,31,28,4,11,28,1.27
2007,DET,AL,265,1,4,4.26,63,0,38,61.1,64,29,29,3,23,33,1.42
