Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,NYM,NL,69,1,1,7.07,3,3,0,14.0,20,11,11,2,8,11,2.00
2009,NYM,NL,110,1,1,4.21,5,5,0,25.2,27,12,12,1,9,18,1.40
2010,NYM,NL,770,9,10,4.20,30,30,0,173.2,192,97,81,20,62,148,1.46
2011,NYM,NL,694,11,11,4.40,27,26,0,157.1,178,88,77,14,44,138,1.41
2012,NYM,NL,788,13,9,3.40,30,30,0,190.1,174,77,72,22,49,155,1.17
2013,NYM,NL,621,8,8,3.71,24,24,0,143.0,158,68,59,10,48,105,1.44
2014,NYM,NL,786,9,11,3.40,30,30,0,187.2,193,80,71,17,45,138,1.27
2015,NYM,NL,770,9,10,4.13,33,29,0,176.2,192,93,81,20,55,113,1.40
2016,PIT,NL,491,8,6,4.91,23,18,0,110.0,132,63,60,21,38,76,1.55
2016,NYM,NL,55,0,1,11.45,6,2,0,11.0,13,14,14,4,9,12,2.00
