Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,BAL,AL,117,2,0,1.80,22,0,0,30.0,20,7,6,1,6,38,0.87
2016,BAL,AL,313,8,2,3.13,66,0,0,74.2,59,28,26,6,36,96,1.27
2017,BAL,AL,315,8,1,2.75,69,0,0,78.2,57,24,24,10,25,88,1.04
2018,BAL,AL,317,0,7,3.99,69,0,9,76.2,61,37,34,4,30,79,1.19
2019,BAL,AL,260,2,6,4.57,58,0,11,63.0,49,35,32,13,26,86,1.19
2020,BAL,AL,51,0,1,1.38,12,0,0,13.0,7,2,2,1,6,19,1.00
2020,COL,NL,42,1,0,6.75,10,0,1,9.1,9,8,7,4,4,6,1.39
2020,2 Teams,,93,1,1,3.63,22,0,1,22.1,16,10,9,5,10,25,1.16
2021,COL,NL,124,3,2,2.73,31,0,0,29.2,25,11,9,5,14,34,1.31
2021,CIN,NL,92,1,1,4.22,23,0,8,21.1,18,11,10,2,13,20,1.45
2021,2 Teams,,216,4,3,3.35,54,0,8,51.0,43,22,19,7,27,54,1.37
2022,CHC,NL,172,6,2,2.66,40,0,2,40.2,32,15,12,5,19,51,1.25
2022,NYM,NL,88,1,1,4.79,19,1,0,20.2,24,12,11,3,6,20,1.45
