Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,STL,NL,69,1,1,5.63,10,1,0,16.0,14,10,10,4,8,8,1.38
2010,STL,NL,695,13,8,2.70,28,28,0,163.1,151,64,49,9,64,132,1.32
2011,STL,NL,826,13,7,3.56,32,32,0,194.2,207,100,77,15,50,156,1.32
2012,STL,NL,515,7,7,3.92,20,20,0,121.2,136,58,53,7,30,98,1.36
2013,STL,NL,234,5,2,3.58,9,9,0,55.1,57,26,22,6,15,43,1.30
2014,STL,NL,177,3,1,4.12,7,7,0,43.2,39,20,20,6,7,39,1.05
2015,STL,NL,510,10,6,2.43,20,20,0,129.2,106,37,35,6,30,97,1.05
2016,STL,NL,741,10,13,4.67,32,30,0,171.2,179,94,89,26,57,150,1.37
2017,ATL,NL,474,4,7,4.30,18,18,0,113.0,108,58,54,12,41,85,1.32
2017,MIN,AL,29,1,0,4.05,1,1,0,6.2,8,3,3,0,3,7,1.65
2017,NYY,AL,170,0,3,4.82,8,8,0,37.1,41,25,20,6,20,37,1.63
2017,3 Teams,,673,5,10,4.41,27,27,0,157.0,157,86,77,18,64,129,1.41
2018,TOR,AL,335,3,6,5.93,25,13,0,74.1,76,53,49,13,38,69,1.53
2018,CHC,NL,34,0,1,4.70,8,1,0,7.2,6,4,4,0,6,4,1.57
