Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,TOR,AL,117,0,2,2.64,33,0,0,30.2,26,10,9,0,2,21,0.91
2013,TOR,AL,282,4,6,2.47,64,0,2,69.1,66,23,19,5,13,53,1.14
2014,TOR,AL,283,4,4,3.15,71,0,4,68.2,50,25,24,4,30,56,1.17
2015,TOR,AL,186,2,5,4.46,60,0,0,42.1,47,24,21,6,7,46,1.28
2016,TOR,AL,62,0,0,5.02,21,0,0,14.1,15,8,8,2,4,15,1.33
2017,TOR,AL,265,2,3,3.75,70,0,0,57.2,59,27,24,4,29,64,1.53
2018,TOR,AL,166,0,0,4.54,50,0,0,35.2,44,21,18,4,13,42,1.60
2018,PHI,NL,17,0,0,4.50,9,0,0,4.0,4,2,2,0,1,2,1.25
2018,2 Teams,,183,0,0,4.54,59,0,0,39.2,48,23,20,4,14,44,1.56
2019,SD,NL,14,0,0,0.00,4,0,0,3.1,2,0,0,0,1,5,0.90
2020,TB,AL,96,3,2,2.52,24,0,0,25.0,17,9,7,3,4,22,0.84
2021,NYM,NL,218,6,0,0.95,65,2,0,56.2,37,9,6,1,16,57,0.94
2022,LAA,AL,260,0,5,3.84,65,0,1,58.2,54,38,25,4,22,52,1.30
