Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2019,MIN,AL,202,2,2,3.86,11,6,1,49.0,50,23,21,8,12,38,1.27
2020,MIN,AL,72,2,0,6.75,7,1,0,16.0,19,12,12,2,5,15,1.50
2021,MIN,AL,17,0,0,0.00,1,0,0,4.2,1,1,0,0,1,3,0.43
2022,MIN,AL,287,5,2,3.71,15,12,0,70.1,67,30,29,13,19,40,1.22
