Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,TOR,AL,8,0,0,40.50,2,0,0,0.2,4,3,3,0,2,1,9.00
2013,MIA,NL,54,0,2,9.00,5,1,0,11.0,16,12,11,2,5,5,1.91
2014,MIA,NL,181,3,1,2.14,31,0,0,42.0,41,14,10,1,15,33,1.33
2015,MIA,NL,190,3,3,3.68,44,0,0,44.0,41,21,18,3,17,41,1.32
2015,TEX,AL,119,2,1,1.15,31,0,2,31.1,24,5,4,1,4,30,0.89
2015,2 Teams,,309,5,4,2.63,75,0,2,75.1,65,26,22,4,21,71,1.14
2016,TEX,AL,285,3,2,2.43,73,0,38,70.1,63,19,19,5,23,55,1.22
2017,TEX,AL,91,1,6,10.80,17,0,0,16.2,31,23,20,6,12,7,2.58
2017,SF,NL,169,3,4,4.03,38,0,14,38.0,36,18,17,2,18,27,1.42
2017,2 Teams,,260,4,10,6.09,55,0,14,54.2,67,41,37,8,30,34,1.77
2018,SF,NL,273,4,3,2.69,74,0,3,70.1,56,23,21,5,20,56,1.08
2019,SF,NL,196,4,1,2.47,49,0,2,51.0,39,17,14,3,7,47,0.90
2019,MIN,AL,53,1,0,7.15,12,0,0,11.1,14,9,9,3,6,8,1.76
