Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,DET,AL,39,0,0,6.23,8,0,0,8.2,11,7,6,0,3,11,1.62
2015,MIL,NL,209,0,0,3.22,48,0,0,50.1,44,18,18,8,17,58,1.21
2016,MIL,NL,145,1,4,4.68,35,0,2,32.2,32,20,17,3,16,38,1.47
2017,MIL,NL,309,1,4,1.78,76,0,39,76.0,48,15,15,6,40,126,1.16
2018,MIL,NL,223,4,3,3.58,57,0,16,55.1,38,23,22,7,22,88,1.08
2020,MIL,NL,62,0,0,6.08,15,0,0,13.1,15,9,9,4,8,15,1.73
2021,LAD,NL,101,4,0,2.45,27,4,3,25.2,16,8,7,2,9,30,0.97
