Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,OAK,AL,229,3,0,1.06,47,0,11,59.2,47,8,7,2,22,30,1.16
2009,OAK,AL,313,2,4,3.07,69,0,7,73.1,82,27,25,2,28,54,1.50
2010,OAK,AL,257,3,7,3.26,64,0,0,60.2,54,24,22,4,28,41,1.35
2011,OAK,AL,160,3,2,2.39,43,0,1,37.2,38,14,10,0,13,29,1.35
2011,AZ,NL,79,0,0,1.74,23,0,0,20.2,15,7,4,0,6,15,1.02
2011,2 Teams,,239,3,2,2.16,66,0,1,58.1,53,21,14,0,19,44,1.23
2012,AZ,NL,263,6,1,2.49,77,0,0,68.2,54,21,19,2,21,42,1.09
2013,AZ,NL,297,8,1,2.22,78,0,13,73.0,61,20,18,3,22,44,1.14
2014,AZ,NL,281,5,3,3.49,68,0,1,67.0,60,29,26,5,24,54,1.25
2015,AZ,NL,263,0,3,1.85,66,0,30,68.0,48,17,14,3,17,36,0.96
2016,AZ,NL,165,2,3,2.82,36,0,18,38.1,41,13,12,1,15,27,1.46
2016,BOS,AL,124,2,4,1.52,33,0,4,29.2,26,8,5,1,11,31,1.25
2016,2 Teams,,289,4,7,2.25,69,0,22,68.0,67,21,17,2,26,58,1.37
2017,MIA,NL,211,1,4,4.79,53,0,10,47.0,57,29,25,1,16,26,1.55
2018,MIA,NL,213,1,5,3.98,53,0,10,52.0,49,25,23,7,17,37,1.27
2018,AZ,NL,92,1,1,3.74,29,0,0,21.2,22,9,9,1,8,13,1.38
