Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2016,KC,AL,41,1,0,6.48,10,0,0,8.1,11,8,6,1,5,7,1.92
2017,KC,AL,196,1,0,3.20,33,0,0,45.0,50,23,16,4,13,27,1.40
2018,KC,AL,293,5,4,3.25,65,0,0,72.0,70,28,26,7,20,46,1.25
2019,KC,AL,268,4,2,4.48,56,0,1,60.1,68,31,30,4,21,38,1.48
