Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1989,KC,AL,106,1,4,9.14,6,5,0,21.2,34,22,22,3,12,10,2.12
1990,KC,AL,784,12,8,2.76,32,24,0,185.2,179,67,57,13,54,127,1.25
1991,KC,AL,881,13,10,3.42,34,31,0,207.2,205,97,79,13,61,158,1.28
1992,KC,AL,852,15,8,2.46,30,30,0,208.1,167,59,57,10,68,150,1.13
1993,KC,AL,953,18,8,2.56,34,34,0,238.2,183,74,68,8,81,186,1.11
1994,KC,AL,653,7,6,3.83,23,23,0,155.0,137,68,66,11,63,145,1.29
1995,KC,AL,832,15,10,3.89,31,31,0,201.1,163,90,87,14,80,185,1.21
1996,KC,AL,874,14,11,3.62,32,32,0,211.1,192,87,85,17,75,207,1.26
1997,KC,AL,972,9,13,3.40,34,34,0,235.2,215,96,89,24,74,196,1.23
1998,KC,AL,69,1,2,7.80,3,3,0,15.0,21,13,13,3,5,9,1.73
1999,KC,AL,613,9,9,4.87,22,22,0,140.1,153,81,76,18,51,78,1.45
1999,OAK,AL,313,7,5,5.77,12,12,0,68.2,77,50,44,9,33,53,1.60
1999,2 Teams,,926,16,14,5.17,34,34,0,209.0,230,131,120,27,84,131,1.50
2000,OAK,AL,884,15,11,4.52,31,31,0,195.1,200,109,98,23,102,129,1.55
2001,NYM,NL,856,11,10,3.57,33,33,0,206.2,181,89,82,22,64,172,1.19
2002,ANA,AL,795,14,12,3.92,32,32,0,188.1,191,89,82,23,64,132,1.35
2003,ANA,AL,422,7,7,5.63,19,19,0,92.2,105,60,58,17,36,50,1.52
2003,KC,AL,77,1,2,4.26,4,4,0,19.0,15,9,9,4,7,5,1.16
2003,2 Teams,,499,8,9,5.40,23,23,0,111.2,120,69,67,21,43,55,1.46
