Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,TOR,AL,36,0,2,14.85,2,2,0,6.2,15,11,11,5,1,7,2.40
2015,DET,AL,216,1,4,6.57,11,10,0,50.2,56,39,37,12,19,36,1.48
2015,2 Teams,,252,1,6,7.53,13,12,0,57.1,71,50,48,17,20,43,1.59
2016,DET,AL,412,6,5,4.53,20,18,0,97.1,97,51,49,17,29,82,1.29
2017,DET,AL,605,6,11,5.27,26,25,0,135.0,157,84,79,18,53,110,1.56
2018,DET,AL,709,9,13,4.39,31,31,0,170.1,146,87,83,27,51,159,1.16
2019,DET,AL,788,9,12,4.56,32,32,0,185.1,178,101,94,39,50,238,1.23
2020,DET,AL,271,3,7,6.71,12,12,0,60.1,67,46,45,15,22,60,1.48
2021,DET,AL,337,3,8,3.89,15,15,0,78.2,77,37,34,9,23,67,1.27
2022,SEA,AL,53,2,0,1.35,10,0,0,13.1,5,2,2,0,8,13,0.98
