Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2014,DET,AL,136,1,4,8.16,9,6,0,28.2,43,26,26,5,11,19,1.88
2015,AZ,NL,545,5,12,3.52,23,23,0,127.2,121,56,50,9,49,119,1.33
2016,AZ,NL,776,8,15,4.90,32,32,0,174.1,185,105,95,24,71,218,1.47
2017,AZ,NL,665,15,5,2.89,28,28,0,162.0,116,57,52,23,71,218,1.15
2018,AZ,NL,526,6,2,3.93,24,24,0,123.2,97,55,54,19,70,165,1.35
2019,AZ,NL,747,12,8,4.34,33,33,0,174.1,150,91,84,30,84,235,1.34
2020,AZ,NL,154,1,4,7.84,7,7,0,31.0,31,27,27,9,31,43,2.00
2020,TOR,AL,97,1,1,4.79,5,4,0,20.2,22,13,11,4,14,25,1.74
2020,2 Teams,,251,2,5,6.62,12,11,0,51.2,53,40,38,13,45,68,1.90
2021,TOR,AL,773,13,7,2.84,32,32,0,193.1,150,62,61,33,52,248,1.04
2022,SEA,AL,775,12,12,3.71,32,32,0,189.0,163,80,78,32,62,212,1.19
