Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2004,TEX,AL,158,3,2,4.71,7,7,0,36.1,36,21,19,7,10,27,1.27
2005,TEX,AL,700,12,7,4.26,31,31,0,164.2,162,84,78,19,45,137,1.26
2006,SD,NL,735,11,5,3.46,31,31,0,179.1,134,72,69,28,69,164,1.13
2007,SD,NL,705,9,8,3.12,30,30,0,173.0,118,66,60,10,72,167,1.10
2008,SD,NL,434,7,6,3.96,18,18,0,102.1,84,46,45,13,48,93,1.29
2009,SD,NL,336,4,6,5.21,14,14,0,76.0,70,47,44,12,40,50,1.45
2010,SD,NL,82,2,0,0.90,4,4,0,20.0,10,2,2,1,11,15,1.05
2011,NYM,NL,95,1,0,1.88,4,4,0,24.0,12,5,5,3,11,22,0.96
2012,NYM,NL,493,4,9,4.15,20,20,0,115.0,119,58,53,16,36,80,1.35
2014,SEA,AL,688,12,9,3.65,30,29,0,165.0,143,70,67,26,60,108,1.23
2015,KC,AL,500,11,6,3.06,34,18,0,123.1,91,44,42,16,43,83,1.09
2016,KC,AL,406,3,9,6.19,34,13,1,88.2,104,63,61,28,43,94,1.66
